order_id,date,product_id,product_name,quantity,unit_price,line_total
O20251029000,2025-10-29,P003,Caano,1,2.0,2.0
O20251029000,2025-10-29,P001,Bariis,4,3.0,12.0
O20251029000,2025-10-29,P001,Bariis,4,0.8,3.2
O20251029001,2025-10-29,P001,Bariis,3,1.5,4.5
O20251029001,2025-10-29,P002,Sonkor,2,1.5,3.0
O20251029002,2025-10-29,P004,Biyo,1,3.0,3.0
O20251029003,2025-10-29,P001,Bariis,2,0.5,1.0
O20251029004,2025-10-29,P004,Biyo,3,2.0,6.0
O20251029005,2025-10-29,P003,Caano,2,3.0,6.0
O20251029005,2025-10-29,P003,Caano,2,3.0,6.0
O20251029006,2025-10-29,P003,Caano,4,0.5,2.0
O20251029007,2025-10-29,P004,Biyo,3,2.0,6.0
O20251029007,2025-10-29,P003,Caano,1,0.5,0.5
O20251029008,2025-10-29,P002,Sonkor,2,2.0,4.0
O20251029008,2025-10-29,P002,Sonkor,3,1.5,4.5
O20251029009,2025-10-29,P005,Saliid,4,2.0,8.0
O20251029009,2025-10-29,P002,Sonkor,3,1.5,4.5
O20251029010,2025-10-29,P001,Bariis,3,3.0,9.0
O20251029010,2025-10-29,P001,Bariis,1,0.5,0.5
O20251029010,2025-10-29,P004,Biyo,1,1.5,1.5
O20251029011,2025-10-29,P004,Biyo,3,1.5,4.5
O20251029011,2025-10-29,P004,Biyo,1,0.8,0.8
O20251029012,2025-10-29,P001,Bariis,1,1.5,1.5
O20251029012,2025-10-29,P004,Biyo,1,3.0,3.0
O20251029013,2025-10-29,P001,Bariis,3,3.0,9.0
O20251029013,2025-10-29,P005,Saliid,3,3.0,9.0
O20251029014,2025-10-29,P004,Biyo,3,0.5,1.5
O20251029014,2025-10-29,P001,Bariis,2,1.5,3.0
O20251029014,2025-10-29,P001,Bariis,4,0.5,2.0
O20251029015,2025-10-29,P005,Saliid,2,0.8,1.6
O20251029016,2025-10-29,P005,Saliid,3,2.0,6.0
O20251029016,2025-10-29,P004,Biyo,4,0.5,2.0
O20251029016,2025-10-29,P002,Sonkor,3,0.8,2.4
O20251029017,2025-10-29,P003,Caano,4,3.0,12.0
O20251029017,2025-10-29,P005,Saliid,3,2.0,6.0
O20251029017,2025-10-29,P003,Caano,2,1.5,3.0
O20251029018,2025-10-29,P004,Biyo,1,0.8,0.8
O20251029018,2025-10-29,P005,Saliid,4,0.8,3.2
O20251029018,2025-10-29,P002,Sonkor,3,2.0,6.0
O20251029019,2025-10-29,P002,Sonkor,3,1.5,4.5
O20251029020,2025-10-29,P001,Bariis,4,1.5,6.0
O20251029020,2025-10-29,P001,Bariis,3,1.5,4.5
O20251029021,2025-10-29,P001,Bariis,4,2.0,8.0
O20251029021,2025-10-29,P005,Saliid,2,0.8,1.6
O20251029022,2025-10-29,P001,Bariis,1,0.8,0.8
O20251029023,2025-10-29,P001,Bariis,1,3.0,3.0
O20251029023,2025-10-29,P005,Saliid,2,2.0,4.0
O20251029024,2025-10-29,P002,Sonkor,2,2.0,4.0
O20251029025,2025-10-29,P002,Sonkor,4,0.5,2.0
O20251029025,2025-10-29,P002,Sonkor,2,2.0,4.0
O20251029026,2025-10-29,P001,Bariis,4,1.5,6.0
O20251029026,2025-10-29,P005,Saliid,2,3.0,6.0
O20251029026,2025-10-29,P001,Bariis,4,0.8,3.2
O20251029027,2025-10-29,P005,Saliid,1,3.0,3.0
O20251029027,2025-10-29,P001,Bariis,1,0.8,0.8
O20251029028,2025-10-29,P001,Bariis,3,0.5,1.5
O20251029028,2025-10-29,P004,Biyo,4,3.0,12.0
O20251029029,2025-10-29,P002,Sonkor,1,0.5,0.5
O20251029029,2025-10-29,P004,Biyo,4,3.0,12.0
O20251029029,2025-10-29,P003,Caano,2,0.8,1.6
O20251029030,2025-10-29,P002,Sonkor,4,0.5,2.0
O20251029030,2025-10-29,P005,Saliid,1,0.8,0.8
O20251029030,2025-10-29,P002,Sonkor,2,1.5,3.0
O20251029031,2025-10-29,P003,Caano,1,0.5,0.5
